"","tag_code","antenna","date_time","interval","dummy","dummy_lead","dummy2"
"28","900_226000135106",2,2013-04-27 10:27:39,770494,0,1,2
"29","900_226000135106",2,2013-04-27 10:40:32,64.3200001716614,1,0,2
"30","900_226000135144",2,2013-04-22 13:10:29,0,0,1,2
"31","900_226000135144",2,2013-04-22 13:10:31,1.99000000953674,1,0,2
"32","900_226000135148",2,2013-04-22 13:10:35,0,0,0,2
"33","900_226000135162",2,2013-05-10 11:45:48,0,0,1,2
"34","900_226000135162",2,2013-05-10 11:46:26,38.7699999809265,1,0,2
"35","900_226000135167",1,2014-05-06 14:58:00,0,0,0,2
"36","900_226000135167",1,2014-05-06 15:08:48,648,0,0,2
"37","900_226000135167",1,2014-05-06 15:18:13,565,0,1,2
"38","900_226000135167",1,2014-05-06 15:18:16,3,1,0,2
"39","900_226000135173",2,2013-04-26 14:53:00,0,0,1,2
"40","900_226000135173",2,2013-04-26 14:54:25,3.64999985694885,1,0,2
"41","900_226000135173",2,2013-04-27 09:26:52,66746.7599999905,0,1,2
"42","900_226000135173",2,2013-04-27 09:32:14,49.7300000190735,1,0,2
"43","900_226000135173",2,2013-04-27 09:37:12,298.009999990463,0,0,2
"44","900_226000135173",2,2013-04-30 04:43:12,241559.809999943,0,0,2
"45","900_226000135173",1,2013-04-30 04:51:12,480.789999961853,0,1,2
"46","900_226000135173",1,2013-04-30 04:51:13,0.670000076293945,1,0,2
"47","900_226000137580",2,2014-05-11 12:00:37,0,0,1,2
"48","900_226000137580",1,2014-05-11 12:02:21,104.390000104904,1,0,2
"49","900_226000137590",2,2013-05-10 10:28:41,0,0,1,2
"50","900_226000137590",2,2013-05-10 10:28:44,2.33000016212463,1,0,2
"51","900_226000137591",2,2013-05-10 11:44:11,0,0,1,2
"52","900_226000137591",2,2013-05-10 11:44:18,6.30999994277954,1,0,2
"53","900_226000137591",2,2013-05-11 11:23:54,85175.9000000954,0,1,2
"54","900_226000137591",2,2013-05-11 11:24:52,54.0400002002716,1,0,2
"55","900_226000137593",2,2013-05-10 09:26:05,0,0,1,2
"56","900_226000137593",2,2013-05-10 09:26:25,19.5499999523163,1,0,2
"57","900_226000137593",2,2013-05-11 03:13:59,64054.3500001431,0,1,2
"58","900_226000137593",2,2013-05-11 03:15:00,33.1499998569489,1,0,2
"59","900_226000137598",2,2014-05-03 12:30:18,0,0,1,2
"60","900_226000137598",2,2014-05-03 12:33:00,43,1,0,2
"61","900_226000137600",2,2013-05-09 10:31:59,0,0,1,2
"62","900_226000137600",2,2013-05-09 10:32:26,7.62999987602234,1,0,2
"63","900_226000137600",2,2013-05-14 11:14:03,434496.730000019,0,1,2
"64","900_226000137600",1,2013-05-14 11:15:40,0.330000162124634,1,0,2
"65","900_226000137609",2,2014-05-17 13:52:20,0,0,1,2
"66","900_226000137609",2,2014-05-17 13:52:28,3.3199999332428,1,0,2
"67","900_226000137609",2,2014-05-19 08:01:31,151743.220000029,0,1,2
"68","900_226000137609",2,2014-05-19 08:02:17,45.5299999713898,1,0,2
"69","900_226000137609",2,2014-05-23 17:38:11,380154.399999857,0,1,2
"70","900_226000137609",2,2014-05-23 17:39:47,62.5299999713898,1,0,2
"71","900_226000137614",2,2013-05-10 10:12:31,0,0,1,2
"72","900_226000137614",2,2013-05-10 10:12:43,1.32999992370605,1,0,2
"73","900_226000137615",2,2014-04-28 12:05:24,0,0,1,2
