=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.05.27	8:57:05	=~=~=~=~=~=~=~=~=~=~=~=										
UP															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>UP															
05/23/2013	6:19:02	00:00.0	R	0000_0000000174764544	A3	1	2694								
05/23/2013	6:27:43	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	6:33:35	00:00.0	R	0000_0000000174764573	A1	1	5570								
05/23/2013	6:42:41	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	6:48:50	00:00.0	R	0000_0000000174764544	A3	1	5388								
05/23/2013	6:57:40	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	7:04:24	00:00.0	R	0000_0000000174764573	A1	1	5569								
05/23/2013	7:12:38	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	7:27:36	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	7:33:31	00:00.0	R	0000_0000000174764544	A3	1	8079								
05/23/2013	7:42:34	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	8:03:19	00:00.0	R	0000_0000000174764544	A3	1	5387								
05/23/2013	8:06:00	00:00.0	R	0000_0000000174764573	A1	1	11138								
05/23/2013	8:12:30	00:00.0	R	0000_0000000180573686	A2	1	5412								
05/23/2013	8:27:29	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	8:33:07	00:00.0	R	0000_0000000174764544	A3	1	5386								
05/23/2013	8:36:48	00:00.0	R	0000_0000000174764573	A1	1	5568								
05/23/2013	8:42:27	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	8:57:25	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	9:02:54	00:00.0	R	0000_0000000174764544	A3	1	5386								
05/23/2013	9:07:36	00:00.0	R	0000_0000000174764573	A1	1	5568								
