

upload #10 start: 05/03/2013 06:32:24.93
Site code: AA
--------- upload 10 start ---------
05/03/2013 06:32:24.93 upload 9 complete
05/03/2013 06:40:09.42 supply power ok 13.1V
05/03/2013 06:40:09.42 database file opened
05/03/2013 06:40:09.42 starting reader after power up
05/03/2013 19:46:41.70  00:00:00.34 A 900_226000135104 A3    2  1172
05/03/2013 19:46:52.64  00:00:00.00 A 900_226000135104 A3    1    31
05/03/2013 20:02:48.09  00:00:00.00 R 0000_0000000174764544 A3    1  2882
05/03/2013 20:12:51.14  00:00:00.00 R 0000_0000000180573686 A2    1  6251
05/03/2013 20:17:47.20  00:00:00.00 R 0000_0000000174764544 A3    1  2712
05/03/2013 20:32:46.26  00:00:00.00 R 0000_0000000174764544 A3    1  2712
05/03/2013 20:42:48.31  00:00:00.00 R 0000_0000000180573686 A2    1  2398
05/03/2013 20:47:45.03  00:00:00.00 R 0000_0000000174764544 A3    1  2711
05/03/2013 20:48:18.61  00:00:00.00 R 0000_0000000174764573 A1    1 42435
05/03/2013 21:02:43.79  00:00:00.00 R 0000_0000000174764544 A3    1  2711
05/03/2013 21:19:04.21  00:00:00.00 R 0000_0000000174764573 A1    1  8406
05/03/2013 21:27:44.63  00:00:00.00 R 0000_0000000180573686 A2    1  3946
05/03/2013 21:42:43.74  00:00:00.00 R 0000_0000000180573686 A2    1  1315
05/03/2013 21:47:41.12  00:00:00.00 R 0000_0000000174764544 A3    1  8138
05/03/2013 21:57:42.79  00:00:00.00 R 0000_0000000180573686 A2    1  1208
05/03/2013 22:02:40.49  00:00:00.00 R 0000_0000000174764544 A3    1  2713
05/03/2013 22:12:41.83  00:00:00.00 R 0000_0000000180573686 A2    1  1155
05/03/2013 22:17:40.19  00:00:00.00 R 0000_0000000174764544 A3    1  2714
05/03/2013 22:20:34.93  00:00:00.00 R 0000_0000000174764573 A1    1 17189
05/03/2013 22:27:41.18  00:00:00.00 R 0000_0000000180573686 A2    1  1132
05/03/2013 22:35:43.11  00:00:00.00 A 900_226000135160 A3    1  3267
05/03/2013 22:42:40.55  00:00:00.00 R 0000_0000000180573686 A2    1  1107
05/03/2013 22:46:39.92  00:00:00.00 A 900_226000135160 A3    1  1981
05/03/2013 22:47:38.91  00:00:00.00 R 0000_0000000174764544 A3    1   177
05/03/2013 22:51:20.06  00:00:00.00 R 0000_0000000174764573 A1    1  8891
05/03/2013 23:02:38.61  00:00:00.00 R 0000_0000000174764544 A3    1  2714
05/03/2013 23:12:38.96  00:00:00.00 R 0000_0000000180573686 A2    1  2194
05/03/2013 23:17:37.99  00:00:00.00 R 0000_0000000174764544 A3    1  2713
05/03/2013 23:22:05.52  00:00:00.00 R 0000_0000000174764573 A1    1  8912
05/03/2013 23:27:38.01  00:00:00.00 R 0000_0000000180573686 A2    1  1054
05/03/2013 23:32:37.69  00:00:00.00 R 0000_0000000174764544 A3    1  2714
05/03/2013 23:42:37.07  00:00:00.00 R 0000_0000000180573686 A2    1  1113
05/03/2013 23:47:37.09  00:00:00.00 R 0000_0000000174764544 A3    1  2713
05/03/2013 23:57:36.13  00:00:00.00 R 0000_0000000180573686 A2    1  1134
05/04/2013 00:02:36.80  00:00:00.00 R 0000_0000000174764544 A3    1  2714
05/04/2013 00:12:35.19  00:00:00.00 R 0000_0000000180573686 A2    1  1073
05/04/2013 00:17:36.19  00:00:00.00 R 0000_0000000174764544 A3    1  2713
05/04/2013 00:23:36.18  00:00:00.00 R 0000_0000000174764573 A1    1 17780
05/04/2013 00:32:34.90  00:00:00.00 R 0000_0000000174764544 A3    1  2711
05/04/2013 00:42:33.61  00:00:00.00 R 0000_0000000180573686 A2    1  2229
05/04/2013 00:54:21.34  00:00:00.00 R 0000_0000000174764573 A1    1  8800
05/04/2013 01:02:32.00  00:00:00.00 R 0000_0000000174764544 A3    1  5422
05/04/2013 01:12:32.04  00:00:00.00 R 0000_0000000180573686 A2    1  2257
05/04/2013 01:17:30.06  00:00:00.00 R 0000_0000000174764544 A3    1  2709
05/04/2013 01:32:28.43  00:00:00.00 R 0000_0000000174764544 A3    1  2710
05/04/2013 01:42:30.13  00:00:00.00 R 0000_0000000180573686 A2    1  2182
05/04/2013 01:55:51.96  00:00:00.00 R 0000_0000000174764573 A1    1 17745
05/04/2013 01:57:29.17  00:00:00.00 R 0000_0000000180573686 A2    1  1091
05/04/2013 02:12:28.22  00:00:00.00 R 0000_0000000180573686 A2    1  1156
05/04/2013 02:17:24.26  00:00:00.00 R 0000_0000000174764544 A3    1  8134
05/04/2013 02:26:37.13  00:00:00.00 R 0000_0000000174764573 A1    1  8843
05/04/2013 02:27:27.28  00:00:00.00 R 0000_0000000180573686 A2    1  1069
05/04/2013 02:32:22.34  00:00:00.00 R 0000_0000000174764544 A3    1  2709
05/04/2013 02:42:26.35  00:00:00.00 R 0000_0000000180573686 A2    1  1107
05/04/2013 02:47:20.73  00:00:00.00 R 0000_0000000174764544 A3    1  2710
05/04/2013 02:57:22.32  00:00:00.00 R 0000_0000000174764573 A1    1  8893
05/04/2013 02:57:25.41  00:00:00.00 R 0000_0000000180573686 A2    1  1084
05/04/2013 03:12:24.79  00:00:00.00 R 0000_0000000180573686 A2    1  1112
05/04/2013 03:15:02.32  00:00:00.00 A 900_226000135160 A3    1  5013
05/04/2013 03:16:06.60  00:00:00.00 A 900_226000135160 A3    1   193
05/04/2013 03:27:23.52  00:00:00.00 R 0000_0000000180573686 A2    1  1085
05/04/2013 03:28:07.48  00:00:00.00 R 0000_0000000174764573 A1    1  8878
05/04/2013 03:32:15.90  00:00:00.00 R 0000_0000000174764544 A3    1  2924
05/04/2013 03:42:22.23  00:00:00.00 R 0000_0000000180573686 A2    1  1039
05/04/2013 03:58:52.98  00:00:00.00 R 0000_0000000174764573 A1    1  8973
05/04/2013 04:17:10.74  00:00:00.00 R 0000_0000000174764544 A3    1  8131
05/04/2013 04:27:19.03  00:00:00.00 R 0000_0000000180573686 A2    1  3155
05/04/2013 04:29:38.75  00:00:00.00 R 0000_0000000174764573 A1    1  9001
05/04/2013 04:32:09.10  00:00:00.00 R 0000_0000000174764544 A3    1  2710
05/04/2013 04:42:18.04  00:00:00.00 R 0000_0000000180573686 A2    1  1075
05/04/2013 04:57:17.05  00:00:00.00 R 0000_0000000180573686 A2    1  1113
05/04/2013 05:00:26.49  00:00:00.00 R 0000_0000000174764573 A1    1  8886
05/04/2013 05:02:05.13  00:00:00.00 R 0000_0000000174764544 A3    1  5419
05/04/2013 05:12:15.43  00:00:00.00 R 0000_0000000180573686 A2    1  1171
05/04/2013 05:31:14.66  00:00:00.00 R 0000_0000000174764573 A1    1  8680
05/04/2013 05:32:00.94  00:00:00.00 R 0000_0000000174764544 A3    1  5418
05/04/2013 05:46:37.13  00:00:00.00 A 900_226000135160 A3    1  2643
05/04/2013 06:01:51.20  00:00:00.33 A 900_226000135160 A3    2  2757
05/04/2013 06:01:56.50  00:00:00.00 R 0000_0000000174764544 A3    1    14
05/04/2013 06:02:02.58  00:00:00.00 R 0000_0000000174764573 A1    1  8448
05/04/2013 06:02:18.05  00:00:00.33 A 900_226000135160 A3    2    64
05/04/2013 06:12:10.22  00:00:00.00 R 0000_0000000180573686 A2    1  5430
05/04/2013 06:16:54.03  00:00:00.00 R 0000_0000000174764544 A3    1  2641
05/04/2013 06:31:51.46  00:00:00.00 R 0000_0000000174764544 A3    1  2707
05/04/2013 06:42:07.47  00:00:00.00 R 0000_0000000180573686 A2    1  3493
